Algoritmo,Acertos,Erros,Porcentagem Acerto,Porcentagem Erro,,,,,,,
OVO,10,53,"0,15873015873","0,8412698413",,,,,,,
OVO,14,49,"0,22222222222","0,7777777778",,,Media Acerto OVO,,"0,1273650794",DesvioPadr,"0,0410396314"
OVO,9,54,"0,14285714286","0,8571428571",,,Media Acerto OVR,,"0,4845894301",DesvioPadr,"0,0458706034"
OVO,11,52,"0,1746031746","0,8253968254",,,Media Acerto DTN,,"0,6074725614",DesvioPadr,"0,1000195162"
OVO,8,55,"0,126984127","0,873015873",,,Media Acerto SGD,,"0,3262303308",DesvioPadr,"0,2175713173"
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,Melhor OVO,"0,3174603175",,,
OVO,7,56,"0,1111111111","0,8888888889",,,Melhor OVR,"0,6923076923",,,
OVO,5,58,"0,0793650794","0,9206349206",,,Melhor DTN,"0,775862069",,,
OVO,9,54,"0,1428571429","0,8571428571",,,Melhor SGD,"0,6136363636",,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,Pior OVO,"0,0158730159",,,
OVO,13,50,"0,2063492063","0,7936507937",,,Pior OVR,"0,1896551724",,,
OVO,6,57,"0,0952380952","0,9047619048",,,Pior DTN,"0,3653846154",,,
OVO,7,56,"0,1111111111","0,8888888889",,,Pior SGD,"0,0952380952",,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,15,48,"0,2380952381","0,7619047619",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,13,50,"0,2063492063","0,7936507937",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,13,50,"0,2063492063","0,7936507937",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,14,49,"0,2222222222","0,7777777778",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,12,51,"0,1904761905","0,8095238095",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,12,51,"0,1904761905","0,8095238095",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,14,49,"0,2222222222","0,7777777778",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,13,50,"0,2063492063","0,7936507937",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,3,60,"0,0476190476","0,9523809524",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,3,60,"0,0476190476","0,9523809524",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,13,50,"0,2063492063","0,7936507937",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,13,50,"0,2063492063","0,7936507937",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,12,51,"0,1904761905","0,8095238095",,,,,,,
OVO,3,60,"0,0476190476","0,9523809524",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,14,49,"0,2222222222","0,7777777778",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,18,45,"0,2857142857","0,7142857143",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,13,50,"0,2063492063","0,7936507937",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,13,50,"0,2063492063","0,7936507937",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,15,48,"0,2380952381","0,7619047619",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,12,51,"0,1904761905","0,8095238095",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,2,61,"0,0317460317","0,9682539683",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,12,51,"0,1904761905","0,8095238095",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,13,50,"0,2063492063","0,7936507937",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,12,51,"0,1904761905","0,8095238095",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,13,50,"0,2063492063","0,7936507937",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,12,51,"0,1904761905","0,8095238095",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,12,51,"0,1904761905","0,8095238095",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,14,49,"0,2222222222","0,7777777778",,,,,,,
OVO,18,45,"0,2857142857","0,7142857143",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,20,43,"0,3174603175","0,6825396825",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,2,61,"0,0317460317","0,9682539683",,,,,,,
OVO,14,49,"0,2222222222","0,7777777778",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,17,46,"0,2698412698","0,7301587302",,,,,,,
OVO,14,49,"0,2222222222","0,7777777778",,,,,,,
OVO,4,59,"0,0634920635","0,9365079365",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,12,51,"0,1904761905","0,8095238095",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,11,52,"0,1746031746","0,8253968254",,,,,,,
OVO,17,46,"0,2698412698","0,7301587302",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,3,60,"0,0476190476","0,9523809524",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,9,54,"0,1428571429","0,8571428571",,,,,,,
OVO,10,53,"0,1587301587","0,8412698413",,,,,,,
OVO,6,57,"0,0952380952","0,9047619048",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,8,55,"0,126984127","0,873015873",,,,,,,
OVO,5,58,"0,0793650794","0,9206349206",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
OVO,7,56,"0,1111111111","0,8888888889",,,,,,,
